DateTime	TOKEN	Thrd	Int	MPS	Count	TotCount	AVG	Mode	Median	P90	P95	P99	Max	Min	H	0ms	1ms	2ms	3ms	4ms	5ms	6-10ms	11-15ms	16-20ms	21-25ms	26-30ms	31-40ms	41-50ms	51-60ms	76-100ms	101-125ms	126-150ms	151-175ms	176-200ms	201-250ms	261-300ms	301-400ms	401-500ms	501-600ms	601-750ms	751-1000ms	>1000ms	O	Shift	CntOffset	AvgOffset	MinOffset
2014-12-31 12:35:30.762	E2E	21	5	3805	19029	19029	296.53	28	43	1222	1450	1649	1699	6	H	0.0	0.0	0.0	0.0	0.0	0.0	1.11	4.05	7.45	8.92	10.15	15.7	10.22	5.03	3.87	4.54	0.61	0.57	0.58	0.46	1.07	0.53	1.24	1.77	1.71	2.32	3.76	14.23	O	0	0	0.0	0
2014-12-31 12:35:35.764	E2E	27	10	3159	15799	34828	3825.46	1717	3862	5403	5596	5773	5813	1702	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:35:40.765	E2E	25	15	2848	14240	49068	7808.52	7637	7731	9552	9792	9954	9992	5812	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:35:45.766	E2E	26	20	2694	13472	62540	12099.57	12907	12125	13734	13943	14103	14146	9975	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:35:50.766	E2E	24	25	2753	13767	76307	15772.43	16383	16194	16383	16383	16383	16383	14147	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:35:55.768	E2E	18	30	2744	13722	90029	16383.0	16383	16383	16383	16383	16383	16383	18341	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:00.772	E2E	24	35	2754	13774	103803	16383.0	16383	16383	16383	16383	16383	16383	22565	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:05.773	E2E	20	40	2900	14501	118304	16383.0	16383	16383	16383	16383	16383	16383	26839	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:10.774	E2E	26	45	3257	16286	134590	16383.0	16383	16383	16383	16383	16383	16383	31035	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:15.775	E2E	26	50	3023	15116	149706	16383.0	16383	16383	16383	16383	16383	16383	35141	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:20.776	E2E	24	55	2908	14543	164249	16383.0	16383	16383	16383	16383	16383	16383	39307	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:25.777	E2E	21	60	6266	31330	195579	16383.0	16383	16383	16383	16383	16383	16383	43503	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:30.778	E2E	22	65	9631	48156	243735	16383.0	16383	16383	16383	16383	16383	16383	46747	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:35.779	E2E	19	70	9785	48928	292663	16383.0	16383	16383	16383	16383	16383	16383	49097	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:40.780	E2E	25	75	9452	47263	339926	16383.0	16383	16383	16383	16383	16383	16383	51369	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:45.781	E2E	20	80	10432	52164	392090	16383.0	16383	16383	16383	16383	16383	16383	53754	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:50.782	E2E	21	85	10378	51892	443982	16383.0	16383	16383	16383	16383	16383	16383	55952	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
2014-12-31 12:36:55.783	E2E	24	90	10306	51533	495515	16383.0	16383	16383	16383	16383	16383	16383	58039	H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	O	0	0	0.0	0
